   16P5114150907150907N                                             3010.00
   72P5114150907150907N                                              700.00
   73P5114150907150907N                                             2540.00
   90P5114150907150907N                                             1830.00
   98P5114150907150907N                                              560.00
  129P5114150907150907N                                             1540.00
  130P5114150907150907N                                              280.00
  175P5114150907150907N                                             2100.00
  178P5114150907150907N                                             1050.00
  220P5114150907150907N                                              560.00
  234P5114150907150907N                                              900.00
  285P5114150907150907N                                             4760.00
