   16P5114150707150707N                                             2590.00
   72P5114150707150707N                                              770.00
   73P5114150707150707N                                             1750.00
   90P5114150707150707N                                             1200.00
  129P5114150707150707N                                              560.00
  130P5114150707150707N                                              140.00
  175P5114150707150707N                                             1190.00
  178P5114150707150707N                                              560.00
  234P5114150707150707N                                              990.00
  285P5114150707150707N                                             3080.00
