   16P5114150807150807N                                             3780.00
   72P5114150807150807N                                              630.00
   73P5114150807150807N                                              350.00
   90P5114150807150807N                                              860.00
  130P5114150807150807N                                              350.00
  175P5114150807150807N                                              770.00
  178P5114150807150807N                                              210.00
  220P5114150807150807N                                              490.00
  234P5114150807150807N                                              900.00
  285P5114150807150807N                                             1610.00
