   16P5114300707300707N                                             5600.00
   73P5114300707300707N                                             1400.00
   90P5114300707300707N                                             1360.00
   98P5114300707300707N                                              420.00
  129P5114300707300707N                                              700.00
  130P5114300707300707N                                              210.00
  175P5114300707300707N                                             1050.00
  178P5114300707300707N                                              280.00
  218P5114300707300707N                                             1260.00
  285P5114300707300707N                                              980.00
